,Unnamed: 0,Latitude,Longitude,avg_t2m,avg_vsw_0,avg_vsw_1,avg_tciwv,avg_r2,avg_voltso,avg_orog,avg_sot1,avg_sot2,avg_sot3,avg_vwiltm_0
65,65,43.79424813,20.66534643,290.4741626,0.138725135,0.152063895,16.82585995,50.13062323,0.31200242,361.4973,294.6273677,284.4435162,286.9267883,0.172306746
66,66,43.78593783,20.73249738,290.2646086,0.13134413,0.14302229,16.59719731,51.21466186,0.332119465,363.84595,293.8044069,284.1175325,287.0056152,0.185671002
67,67,43.77758414,20.79962761,289.9924461,0.13134413,0.14302229,16.59719731,51.47046698,0.307012856,310.2444,293.8044069,284.1175325,287.0056152,0.172184199
68,68,43.76918709,20.86673702,289.035876,0.155644432,0.164343852,16.29578602,55.3786157,0.272105217,408.19556,291.3318541,282.7455504,287.0876617,0.153108239
69,69,43.7607467,20.93382552,288.4236255,0.155644432,0.164343852,16.29578602,57.7279538,0.272105217,615.3147,291.3318541,282.7455504,287.0876617,0.153108239
70,70,43.75226298,21.000893,288.5381003,0.182276749,0.207515424,16.63764591,57.42028236,0.288554549,614.87573,292.3581568,283.1313383,287.178833,0.168303028
71,71,43.74373597,21.06793937,289.5414098,0.182276749,0.207515424,16.63764591,54.57089016,0.345885813,396.16577,292.3581568,283.1313383,287.178833,0.217322335
72,72,43.73516569,21.13496453,289.7779549,0.201571442,0.249065134,17.30141439,53.0667669,0.372702777,301.52466,293.5365245,284.0691418,287.2952525,0.240657121
73,73,43.72655216,21.20196837,290.1666268,0.201571442,0.249065134,17.30141439,52.25839016,0.372702777,348.10425,293.5365245,284.0691418,287.2952525,0.240657121
74,74,43.71789539,21.26895082,290.7014847,0.196623294,0.250586114,17.72547354,49.9510985,0.365664184,273.75366,294.3971473,284.9601169,287.4192149,0.231538668
75,75,43.70919543,21.33591175,291.1300329,0.196623294,0.250586114,17.72547354,49.33174086,0.313689649,150.46362,294.3971473,284.9601169,287.4192149,0.18152447
76,76,43.70045228,21.40285109,291.1503237,0.133032387,0.154836977,17.51214188,49.20326863,0.223097399,169.69653,293.3596378,284.614947,287.5508575,0.105031386
77,77,43.69166597,21.46976874,291.1706958,0.133032387,0.154836977,17.51214188,48.60441886,0.355671287,232.68628,293.3596378,284.614947,287.5508575,0.230507135
78,78,43.68283653,21.53666458,290.6162253,0.159671839,0.196474624,17.01739221,49.74385028,0.390711308,269.1814,292.4041646,284.1289698,287.6902771,0.259939402
79,79,43.67396397,21.60353854,289.4677878,0.159671839,0.196474624,17.01739221,54.38496357,0.378612578,361.4983,292.4041646,284.1289698,287.6902771,0.244916871
80,80,43.66504833,21.67039052,288.8248299,0.194392133,0.248049722,16.43074067,55.15943183,0.334833801,439.74634,291.4332903,283.3434643,287.8375854,0.189348012
81,81,43.65608962,21.73722041,288.9173592,0.194392133,0.248049722,16.43074067,54.8682535,0.385791004,412.32007,291.4332903,283.3434643,287.8375854,0.255030215
82,82,43.64708787,21.80402812,288.6040997,0.19221596,0.236874911,15.60198564,55.84134372,0.388818264,397.3523,290.4263102,281.8371065,288.0379995,0.258165032
83,83,43.6380431,21.87081356,287.958836,0.19221596,0.236874911,15.60198564,57.80575344,0.390711308,497.6609,290.4263102,281.8371065,288.0379995,0.259939402
84,84,43.9156371,20.07103531,288.8668493,0.153019477,0.167358919,15.51306591,56.97214868,0.272105217,569.6028,291.6565603,282.2437057,286.9981181,0.153108239
85,85,43.90771045,20.13842734,288.9990921,0.153019477,0.167358919,15.51306591,56.71710311,0.309075594,556.55005,291.6565603,282.2437057,286.9981181,0.172850311
86,86,43.89974018,20.20579949,289.5850025,0.139368215,0.151347783,16.01235187,55.56513919,0.314657629,497.6565,293.0580241,283.212237,287.0262451,0.178168356
87,87,43.8917263,20.27315165,290.1565086,0.139368215,0.151347783,16.01235187,51.68862014,0.29752332,373.33325,293.0580241,283.212237,287.0262451,0.17808938
88,88,43.88366884,20.34048374,290.9827618,0.125992185,0.140143331,16.45228803,48.79023706,0.307705462,265.8401,295.2596003,284.3136122,287.0835317,0.187481001
89,89,43.87556783,20.40779565,290.6876229,0.125992185,0.140143331,16.45228803,49.58363983,0.388857305,227.23999,295.2596003,284.3136122,287.0835317,0.258201391
90,90,43.86742327,20.47508729,290.6217592,0.12566776,0.137157724,16.62101284,49.67196449,0.390711308,204.71216,294.0970306,284.0825628,287.1452688,0.259939402
91,91,43.8592352,20.54235854,291.2835702,0.12566776,0.137157724,16.62101284,48.09942759,0.390711308,223.28003,294.0970306,284.0825628,287.1452688,0.259939402
92,92,43.85100363,20.60960931,290.3504105,0.134048909,0.143404432,16.71241069,50.44046481,0.376315773,320.64868,293.5376222,283.9552146,287.210144,0.242085367
93,93,43.8427286,20.67683951,290.039728,0.134048909,0.143404432,16.71241069,51.94968785,0.332119465,401.50757,293.5376222,283.9552146,287.210144,0.185671002
94,94,43.83441011,20.74404903,290.282892,0.13668696,0.145362397,16.4485498,51.54110495,0.32759732,390.05298,292.1110484,283.4141134,287.2782338,0.183229864
95,95,43.82604819,20.81123777,289.7465693,0.13668696,0.145362397,16.4485498,53.25296476,0.273442447,377.2307,292.1110484,283.4141134,287.2782338,0.153856933
96,96,43.81764287,20.87840564,288.6501338,0.161297945,0.173040366,16.06682937,56.92608749,0.272105217,497.1692,289.9285516,282.1213506,287.3495433,0.153108239
97,97,43.80919417,20.94555254,287.7415509,0.161297945,0.173040366,16.06682937,60.17760658,0.272105217,658.4851,289.9285516,282.1213506,287.3495433,0.153108239
98,98,43.80070211,21.01267836,288.3031286,0.144072456,0.155010775,16.4452316,58.74059486,0.266281486,592.38257,290.9961921,282.7311054,287.429423,0.145606801
99,99,43.7921667,21.07978302,289.3504918,0.144072456,0.155010775,16.4452316,55.0433294,0.311088085,354.81274,290.9961921,282.7311054,287.429423,0.186443031
100,100,43.78358799,21.1468664,289.5396737,0.210900191,0.255560273,17.07325579,54.07300605,0.350359917,304.62915,292.1442829,283.556093,287.5234731,0.222030222
101,101,43.77496598,21.21392842,289.7647714,0.210900191,0.255560273,17.07325579,53.23923869,0.304219425,398.43774,292.1442829,283.556093,287.5234731,0.183021769
102,102,43.7663007,21.28096898,290.4287253,0.168163785,0.211481132,17.60870606,51.37248521,0.334093034,303.7146,294.0080193,284.8428455,287.625117,0.191610307
103,103,43.75759218,21.34798798,291.0426305,0.168163785,0.211481132,17.60870606,49.6128824,0.288814485,127.57837,294.0080193,284.8428455,287.625117,0.156519473
104,104,43.74884043,21.41498532,291.1196162,0.126789038,0.153568394,17.42271816,49.28600523,0.223097399,130.67163,294.1347783,285.0947681,287.7344767,0.105031386
105,105,43.74004549,21.48196091,290.7901349,0.126789038,0.153568394,17.42271816,49.69551044,0.275580168,202.95972,294.1347783,285.0947681,287.7344767,0.162307337
106,106,43.73120736,21.54891464,289.9990921,0.192945754,0.25378001,16.57434785,51.52130254,0.368719578,274.05005,291.4009569,283.6605962,287.8516439,0.241134137
107,107,43.72232609,21.61584643,289.2091073,0.192945754,0.25378001,16.57434785,54.6660508,0.383577347,447.22144,291.4009569,283.6605962,287.8516439,0.251049936
108,108,43.71340169,21.68275617,288.2251392,0.223976512,0.278845758,15.85988215,57.71612671,0.354478896,568.9363,289.6660275,282.0173221,287.976766,0.21492973
109,109,43.70443418,21.74964378,288.2733977,0.223976512,0.278845758,15.85988215,56.96232896,0.361978948,488.2151,289.6660275,282.0173221,287.976766,0.224347129
110,110,43.69542359,21.81650914,288.3309606,0.19221596,0.236874911,15.60198564,56.55255249,0.380881011,415.00854,290.4263102,281.8371065,288.0379995,0.24771601
